"","V1"
"10904",0.0232107903979623
"33373",0.593702451504321
"9986",0.225526390714277
"75",0.0493718914091623
"30311",0.763725377126945
"26378",0.110258634570738
"21415",0.427466016257336
"25548",0.00925009843091266
"35656",0.419829520670713
"31756",0.0457674409439376
"393",-0.0112828663637548
"23700",0.147570984733818
"8784",0.492812743040258
"28128",0.00761037952731439
"21052",0.0163872739538413
"2848",0.06637069875032
"13961",0.393756399321691
"32719",0.399286952840816
"5265",0.00272538607125693
"15505",0.86411932308459
"16954",0.410352842309501
"14349",0.00698337125925079
"9795",0.114127226617799
"33131",0.218427735705114
"22008",0.400896945741112
"9837",0.723550160330148
"33715",0.788715603434316
"1258",0.674230769594796
"19991",0.0429934267472612
"32922",0.0126862669774805
"3975",0.312574405445758
"33676",0.240895271415195
"26072",0.148207083499881
"14095",0.746113374210933
"25130",0.0245630389671926
"24887",0.00938921209026777
"21024",0.906704777500285
"33746",0.417657401748293
"12233",0.113246742703225
"12127",0.551026978856679
"32535",0.242629868304469
"24388",0.816693029724741
"23071",0.547835735407573
"28313",0.622733557760536
"32264",0.969571549141665
"11410",0.453061791208463
"25941",0.842270409981793
"12335",0.391956108667189
"20216",0.916597866880116
"26868",0.0916170864072672
"17001",0.0679936011720752
"10277",-0.0112793946214552
"20388",0.186101522230114
"455",-0.00236289585882344
"30034",0.230502507822186
"33641",0.0986456498987964
"4434",0.148753185676627
"17103",0.0509020149954489
"28239",0.441128374513159
"35056",0.0752168999283874
"11169",0.755696217632459
"7031",0.143870753769227
"35034",0.129723607430225
"28619",0.120740390672992
"33854",0.0113404177686038
"24945",0.55326712504075
"35031",0.94701547896977
"17019",0.348775361727867
"12036",0.113211970796817
"31354",-0.213569228646702
"5443",0.435893987751399
"20831",0.0228156873307252
"25759",0.0163828559917813
"1928",0.783035275854611
"1256",0.61564867262395
"26946",0.422118555218813
"33989",0.0623582028470968
"22075",0.941519881590489
"18580",0.547778348978623
"14096",0.525729835748522
"1018",0.00912287996660927
"15531",0.020955518491564
"22293",0.232604423335347
"28292",0.17709188955058
"14568",0.975616655260836
"26446",0.309927949995139
"1041",0.819445269865969
"15025",0.773778732369048
"3894",0.317842194091371
"11032",0.214665807746678
"15896",0.243408203400258
"16647",0.775687725649451
"28469",0.0879424934370097
"29961",0.181903497449066
"12356",0.396726855545817
"2104",0.918422214106577
"11010",0.820436023780411
"13066",0.94415668346876
"24944",0.582822615725881
"8258",-0.0823935419436526
"31090",-0.0174309573362453
"15123",0.0588931624021656
"10416",0.886125191348356
"15562",-0.0112828663838957
"5144",0.108029708456569
"1678",0.0902849729911924
"25437",0.448622622574726
"8028",0.657416124059737
"17523",0.164722720342074
"16470",0.249317475456302
"20075",0.678450869964186
"3657",0.951228582323827
"20372",0.0823477696393548
"7174",0.0237378243357163
"279",0.0370491741437024
"26218",0.104881493973583
"16776",0.0820121532581702
"6023",0.425222217929003
"26050",0.811598773983884
"24667",0.00107867234041814
"19156",0.986424919136866
"27329",0.555121102839751
"20492",0.311476565877325
"7642",0.0662390831548489
"17325",0.0287853212529062
"34985",0.41469491350758
"21692",0.408213130927677
"24361",0.195939288936779
"16153",0.965462564307631
"12859",0.948890229893716
"19591",0.157017762548291
"23333",0.346534811623367
"26616",0.0752168999283874
"20973",0.247439177868599
"35223",0.0224753514796552
"35252",0.308392054169449
"29063",0.779744923746875
"16896",0.269525900782746
"5664",0.0167480834855288
"23508",0.673160350375501
"4450",-0.00870720313864121
"17409",-0.0518106033927814
"34055",0.276847999569013
"14520",0.0868881503874889
"15788",0.365563973670474
"30655",0.148815447307923
"15331",0.436825155943625
"34185",0.0115231603558072
"22068",0.278245501508774
"3320",0.348238381495035
"7482",0.96411909029021
"683",0.00482899799400002
"30827",0.132995904916029
"10738",0.978756791080281
"13150",0.161370097788371
"2900",0.0172193530318854
